created,type,artist,timestamp,shabadID,verseID,description,link,matched_verse
NA,random,Bhai Harpreet Singh Ji Toronto,00:37:18,687,9290,Aaoo Hamare Raam Pyare Jio,https://akj.media/Media/Keertan/NewYork/2016/046_NewYork_Aug2016_SatE_RSK_BhaiHarpreetSinghJeeToronto.mp3,ਆਉ ਹਮਾਰੈ ਰਾਮ ਪਿਆਰੇ ਜੀਉ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:29:00,1429,16753,Nayee suniya man triptiyaaa and suniyaa pauirss,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/649 MGA SDO 1611 Sarwani kirtan Suno Din Raati LD A 01 1978 Old Spool KS 1 Top Most.m4a,ਨਾਮਿ ਸੁਨਿਐ ਮਨੁ ਤ੍ਰਿਪਤੈ ਮੇਰੇ ਭਾਈ ॥੧॥
NA,random,Bhai Mohinder Singh Ji SDO,00:34:40,1684,20739,Sanmukh Seh Ban,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/649 MGA SDO 1611 Sarwani kirtan Suno Din Raati LD A 01 1978 Old Spool KS 1 Top Most.m4a,
NA,random,Bhai Mohinder Singh Ji SDO,00:37:00,3279,37341,Dhun Meh Dhyan Simran,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/649 MGA SDO 1611 Sarwani kirtan Suno Din Raati LD A 01 1978 Old Spool KS 1 Top Most.m4a,ਧੁਨਿ ਮਹਿ ਧਿਆਨੁ ਧਿਆਨ ਮਹਿ ਜਾਨਿਆ ਗੁਰਮੁਖਿ ਅਕਥ ਕਹਾਨੀ ॥੩॥
NA,random,Bhai Mohinder Singh Ji SDO,00:40:00,4193,50585,"Gobind Jio ,Mere Man tan Naam har bidhe",https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/649 MGA SDO 1611 Sarwani kirtan Suno Din Raati LD A 01 1978 Old Spool KS 1 Top Most.m4a,ਗੋਬਿੰਦ ਜੀਉ ਮੇਰੇ ਮਨ ਤਨ ਨਾਮ ਹਰਿ ਬੀਧੇ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:00:00,,,Simran track,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/213 MGA SDO 1178 40 A.m4a,
NA,random,Bhai Mohinder Singh Ji SDO,00:09:45,1680,20632,Bhinee raanRiyee,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/241 MGA SDO 1206 54 A.m4a,ਭਿੰਨੀ ਰੈਨੜੀਐ ਚਾਮਕਨਿ ਤਾਰੇ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:00:45,5470,59590,Partach ridya gur arjan kaa har puran bhram nivas liyoo,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/595 MGA SDO 1557 Sab Kish Pura Hirde MSA 003 ASR 1979.m4a,ਪਰਤਛਿ ਰਿਦੈ ਗੁਰ ਅਰਜੁਨ ਕੈ ਹਰਿ ਪੂਰਨ ਬ੍ਰਹਮਿ ਨਿਵਾਸੁ ਲੀਅਉ ॥੫॥
NA,random,Bhai Mohinder Singh Ji SDO,0:00:00,4283,51864,Amrit naam swami tera,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/121 MGA SDO 1087 SM.m4a,ਅੰਮ੍ਰਿਤ ਨਾਮੁ ਸੁਆਮੀ ਤੇਰਾ ਜੋ ਪੀਵੈ ਤਿਸ ਹੀ ਤ੍ਰਿਪਤਾਸ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:14:55,4261,51636,Koi ava Santo,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/021 MGA SDO 1021 smpk 19 Gur Satgur Vich Nave Ke Vaddi vaadai.m4a,ਕੋਈ ਆਵੈ ਸੰਤੋ ਹਰਿ ਕਾ ਜਨੁ ਸੰਤੋ ਮੇਰਾ ਪ੍ਰੀਤਮ ਜਨੁ ਸੰਤੋ ਮੋਹਿ ਮਾਰਗੁ ਦਿਖਲਾਵੈ ॥
