created,type,artist,timestamp,shabadID,description,link
NA,random,Bhai Harpreet Singh Ji Toronto,00:37:18,699,Aaoo Hamare Raam Pyare Jio,https://akj.media/Media/Keertan/NewYork/2016/046_NewYork_Aug2016_SatE_RSK_BhaiHarpreetSinghJeeToronto.mp3
NA,random,Bhai Mohinder Singh Ji SDO,00:29:00,1440,Nayee suniya man triptiyaaa and suniyaa pauirss,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/649 MGA SDO 1611 Sarwani kirtan Suno Din Raati LD A 01 1978 Old Spool KS 1 Top Most.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:34:40,1693,Sanmukh Seh Ban,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/649 MGA SDO 1611 Sarwani kirtan Suno Din Raati LD A 01 1978 Old Spool KS 1 Top Most.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:37:00,3285,Dhun Meh Dhyan Simran,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/649 MGA SDO 1611 Sarwani kirtan Suno Din Raati LD A 01 1978 Old Spool KS 1 Top Most.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:40:00,4195,"Gobind Jio ,Mere Man tan Naam har bidhe",https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/649 MGA SDO 1611 Sarwani kirtan Suno Din Raati LD A 01 1978 Old Spool KS 1 Top Most.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:00:00,,Simran track,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/213 MGA SDO 1178 40 A.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:09:45,1689,Bhinee raanRiyee,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/241 MGA SDO 1206 54 A.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:00:45,5479,Partach ridya gur arjan kaa har puran bhram nivas liyoo,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/595 MGA SDO 1557 Sab Kish Pura Hirde MSA 003 ASR 1979.m4a
NA,random,Bhai Mohinder Singh Ji SDO,0:00:00,4285,Amrit naam swami tera,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/121 MGA SDO 1087 SM.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:14:55,4263,Koi ava Santo,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/021 MGA SDO 1021 smpk 19 Gur Satgur Vich Nave Ke Vaddi vaadai.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:27:00,600,Bhaj man mere ekyo naam,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/021 MGA SDO 1021 smpk 19 Gur Satgur Vich Nave Ke Vaddi vaadai.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:40:00,2845,Se sanjyog ,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/021 MGA SDO 1021 smpk 19 Gur Satgur Vich Nave Ke Vaddi vaadai.m4a
NA,random,Bhai Mohinder Singh Ji SDO,01:03:40,1842,Gurmukh sakhi laheli meri,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/021 MGA SDO 1021 smpk 19 Gur Satgur Vich Nave Ke Vaddi vaadai.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:22:00,2069,Jagat meh chuuthi deki preet,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/543 MGA SDO 1505 123A Sabh Dhan kaho Gur Satgur.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:09:30,232,Sab papi tareya,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/553 MGA SDO 1515 Tere Jan Dekhan Paavaan 403 Delhi 1974.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:00:00,1657,Tin jam neR na avA Gur Shabad Kamavaa,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/553 MGA SDO 1515 Tere Jan Dekhan Paavaan 403 Delhi 1974.m4a
NA,random,Bhai Mohinder Singh Ji SDO,0:00,3100,Satgur Shabad ojaro deepa,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/239 MGA SDO 1204 53 A.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:24:50,1689,Bhini ranRiye,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/239 MGA SDO 1204 53 A.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:04:35,3380,Anand anand sab ko kahaa ,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/229 MGA SDO 1194 48 A.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:23:00,11216,(Gursikhi barik haa)gur sikhee baareek hai sil chaTan fikee,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/229 MGA SDO 1194 48 A.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:00:00,600,Bhaj man mere eko naam,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/249 MGA SDO 1214 58 A.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:00:00,3265,Sadhu bin Ase abgat,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/700 MGA SDO 1662 Sadhu Bin Ase Abgat Jave 03 1962 Anp Sahib Spool KS 67.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:32:50,2074,Gur Amrit har much choiyaa,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/700 MGA SDO 1662 Sadhu Bin Ase Abgat Jave 03 1962 Anp Sahib Spool KS 67.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:01:00,3998,Har naam dyaiyaa Shabad raas payiaa,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/252 MGA SDO 1217 59 B.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:00:00,3932,Jin Jan gurmukh seviya (attempt lol),https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/117 MGA SDO 1083 M 32 B GURU LINE IN TRACK 03.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:23:00,2021,Ari bhai gobind naam mat veesraa,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/452 MGA SDO 1414 Mai Sat Sat Sat India 1980s.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:00:00,1660,Dhan so vela,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/392 MGA SDO 1357 M 109 A 1 Dhan So Vela Jit Mai Satgur Milyia.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:00:00,2890,Hau aya dooro chal keee(gunvanti),https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/002 MGA SDO 1002 SDOBradford2 How Ayaaia Dooro Chalke.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:08:45,2657,Har har bhagat driraavo,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/002 MGA SDO 1002 SDOBradford2 How Ayaaia Dooro Chalke.m4a
NA,random,Bhai Mohinder Singh Ji SDO,00:23:00,4346,Dhanvant naam ke vanjare,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/002 MGA SDO 1002 SDOBradford2 How Ayaaia Dooro Chalke.m4a
NA,random,Shamsher Singh,00:00:00,3569,Naam Japandari Lali,https://sgpc.net/puratan-kirtan/SHAMSHER SINGH/14_Bhai_ShemSher_Singh_Jee_Bhai_MohanPal_Singh_Jee_Gur_Darshan_Dekh_Nihalae%5B1%5D.mp3
1676779637,random,Bhai Joginder Singh Talwara,00:00:00,1360,Udho na kaga,https://www.ikirtan.com/Bhai_Joginder_Singh_Jee_Talwara/Bhaaee Joginder Singh %28Uddoh na kaagaa kaarey%29.mp3
1676780227,random,Bhai Tejinderpal Singh Ji Dulla,00:00:00,4190,Gur ki Bani vitho,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/sc/scottishsikhs/Gur Kee Baanee Vittahu Vaariaa Bhaaee Gur Sabadh Vittahu Bal Jaaee (Dulla Ji).mp3
1676781057,random,Bhai Tejinderpal Singh Ji Dulla,00:00:00,2376,Mera mat pita har raia ,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/sc/scottishsikhs/Maeraa Maath Pithaa Har Raaeiaa (Dulla Ji).mp3
1676821047,random,Bhai Mohinder Singh Ji SDO,00:00:00,1449,Maa Prem ras paya ,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/301 MGA SDO 1266 M 23 B 1.m4a
1676833907,random,Bhai Mehar Singh Ji,00:00:00,276,dha(n)nu su dhes jahaa too(n) vasiaa,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mehar Singh/Bhai Mehar Singh - Dhannu Su Dhes Jahaa Toon Vasiaa.mp3
1676839713,random,Bhai Mohinder Singh Ji SDO,00:04:00,310,Prabh milne ki eh nishani,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/611 MGA SDO 1573 Gur Poore Charan Kamal Man Voothe Delhi 1990 JS.m4a
1676839947,random,Bhai Mohinder Singh Ji SDO,00:00:00,2686,Ab man Chout gyaa,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/612 MGA SDO 1574 Ab Man Choot Gyiae HSP 03 1958 SPOOL KS 4 Top Most.m4a
1676840977,random,Bhai Harpreet Singh Ji Toronto,00:15:00,1676,Vari tin vari java,https://akj.media/Media/Keertan/Toronto/2006/082_Toronto_Dec2006_ThuE_AK_BhaiHarpreetSinghJeeToronto.mp3
1676842913,random,Bhai Mohinder Singh Ji SDO,00:02:00,2038,akv Har Raam jap laha ,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/212 MGA SDO 1177 39 B.m4a
1676843694,random,Bhai Mohinder Singh Ji SDO,00:06:00,,Fire mangals in beginning. Then bhagat so hey ,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Bhagat Sohey Guhn Gavday.mp3
1676857526,random,Bhai Harpreet Singh Ji Toronto,00:36:00,651,Prabh mil be ko preet man lagiw,https://akj.media/Media/Keertan/NewJersey/1993/001_NewJersey_Dec1993_SatE_RSK_BhaiHarpreetSinghJeeToronto.mp3
1676866315,random,Bhai Tejinderpal Singh Ji Dulla,00:22:40,662,Milho pyara jee,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/yt/D 172 MGA DULLA 172 Bin Bhaagaa Sathasang N Labhai 1998 Moga-ksLU7QaHS2c.mp3
1676867068,random,Bhai Tejinderpal Singh Ji Dulla,00:33:40,3057,Santan ka Dana rooka,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/yt/D 172 MGA DULLA 172 Bin Bhaagaa Sathasang N Labhai 1998 Moga-ksLU7QaHS2c.mp3
1676867686,random,Bhai Tejinderpal Singh Ji Dulla,00:54:30,3114,Nanak daas ehi daan manga ,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/yt/D 172 MGA DULLA 172 Bin Bhaagaa Sathasang N Labhai 1998 Moga-ksLU7QaHS2c.mp3
1677272568,random,Bhai Mohinder Singh Ji SDO,00:05:00,662,Dhan guru Arjan dev sahib ji,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Soee Hoaa Jo This Bhaanaa Avar N Kin Hee Keethaa.mp3
1677274800,random,Bhai Mohinder Singh Ji SDO,00:18:53,2889,Suchaji. Connects soe hoa jo tis bhana -> bhana takhat vadiyaa. Brilliant!!,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Soee Hoaa Jo This Bhaanaa Avar N Kin Hee Keethaa.mp3
1677276575,random,Bhai Mohinder Singh Ji SDO,1:06:45,2866,Mere Raam rai muj te cachu na hoie. Sri mukhvach patshai 5 at 1:07:25,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Soee Hoaa Jo This Bhaanaa Avar N Kin Hee Keethaa.mp3
